"Scenario","Variable","Model","True_value","Mean","MSE","Bias","Bias_pct","Coverage"
"2","Sub-group Rel. Hazard","C",0.405465108108164,0.378652834062211,0.00888217389312961,-0.026812274045953,-6.61272043137197,0.933
"2","Sub-group Rel. Hazard","D",0.405465108108164,0.414177020271313,0.00810941147341368,0.00871191216314821,2.14862191318918,0.938
"2","time","A",-1,-0.979861417330247,0.000802721001062064,0.0201385826697528,-2.01385826697528,0.812
"2","time","B",-1,-0.979293972386374,0.000828525704091437,0.0207060276136258,-2.07060276136258,0.808
"3","adj_time","C",-1.17816064114501,-1.13757402422165,0.00208623118728726,0.0405866169233664,-3.44491366507726,0.582
"3","adj_time","D",-1.17816064114501,-1.1409788346877,0.00182715400657475,0.0371818064573086,-3.1559199279627,0.638
"3","Alpha","A",-0.05,-0.0533020223585565,2.05167235848182e-05,-0.00330202235855653,6.60404471711305,0.803
"3","Alpha","B",-0.05,-0.0507629363239626,1.00441274142296e-05,-0.000762936323962557,1.52587264792511,0.927
"3","Alpha","C",-0.05,-0.0351358928964814,0.000227148478186577,0.0148641071035186,-29.7282142070372,0
"3","Alpha","D",-0.05,-0.0505448256465706,8.9032683937985e-06,-0.000544825646570622,1.08965129314124,0.941
"3","Delayed entry Hazard","A",-0.05,-0.0678143733480807,0.000371036111929937,-0.0178143733480807,35.6287466961614,0.061
"3","Delayed entry Hazard","B",-0.05,-0.0507854039254928,3.19150110310064e-05,-0.000785403925492749,1.5708078509855,0.935
"3","Delayed entry Hazard","D",-0.05,-0.0504713701735938,4.29117811323257e-05,-0.00047137017359377,0.94274034718754,0.933
"3","Intercept","A",60,59.9488593858386,0.0477532402642507,-0.0511406141614188,-0.085234356935698,0.885
"3","Intercept","B",60,59.9344984613145,0.0492531621097371,-0.0655015386855453,-0.109169231142576,0.877
"3","Intercept","C",43.2641357790691,45.8502509724383,6.93351851807055,2.58611519336923,5.97750341431846,0
"3","Intercept","D",43.2641357790691,45.861553523349,6.99104497756438,2.59741774427991,6.00362794149819,0
"3","Sub-group Rel. Hazard","A",0.405465108108164,0.434582851143978,0.0157078860133574,0.0291177430358139,7.18131904658151,0.92
"3","Sub-group Rel. Hazard","B",0.405465108108164,0.420236684668352,0.0107878170210588,0.0147715765601876,3.64311904151491,0.941
"3","Sub-group Rel. Hazard","C",0.405465108108164,0.571572687388702,0.0356029966158666,0.166107579280538,40.9671697906559,0.525
"3","Sub-group Rel. Hazard","D",0.405465108108164,0.421474082416396,0.00975975100962729,0.0160089743082318,3.94829887654874,0.934
"3","time","A",-1.17816064114501,-1.13816262011739,0.00199525017343497,0.0399980210276236,-3.3949547821213,0.532
"3","time","B",-1.17816064114501,-1.13730463881024,0.00206356905593969,0.0408560023347706,-3.46777857857007,0.508
"4","adj_time","C",-1,-0.98763911549062,0.000563587406333915,0.0123608845093797,-1.23608845093797,0.911
"4","adj_time","D",-1,-0.990433508045178,0.000504245204843411,0.00956649195482218,-0.956649195482218,0.93
"4","Alpha","A",-0.05,-0.0528758160466679,1.76078355615024e-05,-0.00287581604666785,5.75163209333571,0.799
"4","Alpha","B",-0.05,-0.0508117027513952,9.03192191962448e-06,-0.000811702751395166,1.62340550279033,0.931
"4","Alpha","C",-0.05,-0.0364309353032432,0.000190390511142772,0.0135690646967568,-27.1381293935135,0.001
"4","Alpha","D",-0.05,-0.0505778764810362,8.87514950966086e-06,-0.00057787648103623,1.15575296207246,0.931
"4","Delayed entry Hazard","A",-0.05,-0.0651362279042401,0.000271479919617318,-0.0151362279042401,30.2724558084802,0.135
"4","Delayed entry Hazard","B",-0.05,-0.050631926411417,2.90686214949857e-05,-0.000631926411416968,1.26385282283394,0.942
"4","Delayed entry Hazard","D",-0.05,-0.0509391328471172,3.64199427912135e-05,-0.000939132847117156,1.87826569423431,0.934
"4","Intercept","A",60,61.0456303227867,1.13792214663015,1.04563032278669,1.74271720464448,0
"4","Intercept","B",60,61.03234819837,1.11173680496281,1.03234819837,1.72058033061667,0
"4","Intercept","C",47.0947655936096,48.7672088641827,2.99907796729558,1.67244327057306,3.5512296313457,0.043
"4","Intercept","D",47.0947655936096,48.7773531186157,3.03340850269197,1.68258752500612,3.57276972036662,0.043
"4","Sub-group Rel. Hazard","A",0.405465108108164,0.424311076560899,0.00835807580853429,0.0188459684527344,4.64798772468158,0.942
"4","Sub-group Rel. Hazard","B",0.405465108108164,0.410248322222635,0.00744241822194443,0.00478321411447014,1.17968575318055,0.95
"4","Sub-group Rel. Hazard","C",0.405465108108164,0.374300220611537,0.00874571714661838,-0.0311648874966271,-7.68620699375034,0.937
"4","Sub-group Rel. Hazard","D",0.405465108108164,0.409481042004688,0.00738051033724926,0.00401593389652383,0.990451167367159,0.951
"4","time","A",-1,-0.975790853843541,0.000956799421104257,0.0242091461564585,-2.42091461564585,0.762
"4","time","B",-1,-0.975062700468051,0.000992451482446683,0.0249372995319487,-2.49372995319487,0.75
"5","adj_time","C",NA,-0.989273406300785,NA,NA,NA,NA
"5","adj_time","D",NA,-1.00047476286283,NA,NA,NA,NA
"5","Alpha","A",-0.05,-0.0639900501037536,0.00024366913351453,-0.0139900501037536,27.9801002075072,0.384
"5","Alpha","B",-0.05,-0.0678232339187681,0.000357275084565115,-0.0178232339187681,35.6464678375363,0.17
"5","Alpha","C",-0.05,-0.0251897054763717,0.000637390711045616,0.0248102945236283,-49.6205890472566,0.001
"5","Alpha","D",-0.05,-0.0643143100739772,0.000246582516983309,-0.0143143100739772,28.6286201479544,0.34
"5","Delayed entry Hazard","A",-0.05,-0.0742941028317831,0.000620266190438527,-0.0242941028317831,48.5882056635662,0.002
"5","Delayed entry Hazard","B",-0.05,-0.0493802802626681,3.79159968074252e-05,0.000619719737331874,-1.23943947466375,0.929
"5","Delayed entry Hazard","D",-0.05,-0.0599400941925494,0.000140613920358508,-0.00994009419254935,19.8801883850987,0.619
"5","Intercept","A",60,45.1316671554835,221.246412095971,-14.8683328445165,-24.7805547408608,0
"5","Intercept","B",60,45.0888707533345,222.521494189103,-14.9111292466655,-24.8518820777758,0
"5","Intercept","C",60.9486402820125,33.692802534035,743.098405938023,-27.2558377479775,-44.7193532486751,0
"5","Intercept","D",60.9486402820125,33.7435332854168,740.335530562616,-27.2051069965957,-44.6361180015112,0
"5","Sub-group Rel. Hazard","A",0.405465108108164,0.440043946226306,0.00957081063519616,0.0345788381181418,8.52819081757272,0.904
"5","Sub-group Rel. Hazard","B",0.405465108108164,0.415411524321704,0.00764765594420519,0.00994641621353914,2.45308807456887,0.935
"5","Sub-group Rel. Hazard","C",0.405465108108164,0.393092431613081,0.00767518190681472,-0.0123726764950832,-3.05147748786872,0.945
"5","Sub-group Rel. Hazard","D",0.405465108108164,0.416223591102119,0.00760595435892283,0.0107584829939544,2.65336838579076,0.935
"5","time","A",NA,-1.03764050970361,NA,NA,NA,NA
"5","time","B",NA,-1.03690428834515,NA,NA,NA,NA
